Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Survival Ratio by Education"
"Survivorship of population in a particular education group and by five-year age group. Available by level of educational attainment, in all scenarios, and at all geographical scales. It is expressed as a percentage."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Sex","Education","Ratio"
"SSP2","Zambia","2035-2040","40--44","Female","No Education",97.2
"SSP2","Zambia","2040-2045","40--44","Female","No Education",97.3
"SSP2","Zambia","2045-2050","40--44","Female","No Education",97.4
"SSP2","Zambia","2050-2055","40--44","Female","No Education",97.5
"SSP2","Zambia","2055-2060","40--44","Female","No Education",97.6
"SSP2","Zambia","2060-2065","40--44","Female","No Education",96
"SSP2","Zambia","2065-2070","40--44","Female","No Education",96
"SSP2","Zambia","2070-2075","40--44","Female","No Education",96.1
"SSP2","Zambia","2015-2020","45--49","Female","No Education",95.2
"SSP2","Zambia","2020-2025","45--49","Female","No Education",95.9
"SSP2","Zambia","2025-2030","45--49","Female","No Education",96.1
"SSP2","Zambia","2030-2035","45--49","Female","No Education",96.2
"SSP2","Zambia","2035-2040","45--49","Female","No Education",96.3
"SSP2","Zambia","2040-2045","45--49","Female","No Education",96.5
"SSP2","Zambia","2045-2050","45--49","Female","No Education",96.6
"SSP2","Zambia","2050-2055","45--49","Female","No Education",96.7
"SSP2","Zambia","2055-2060","45--49","Female","No Education",96.9
"SSP2","Zambia","2060-2065","45--49","Female","No Education",95.3
"SSP2","Zambia","2065-2070","45--49","Female","No Education",95.3
"SSP2","Zambia","2070-2075","45--49","Female","No Education",95.3
"SSP2","Zambia","2015-2020","50--54","Female","No Education",94.3
"SSP2","Zambia","2020-2025","50--54","Female","No Education",94.7
"SSP2","Zambia","2025-2030","50--54","Female","No Education",94.8
"SSP2","Zambia","2030-2035","50--54","Female","No Education",95
